pandora_topic_id,topic_term,cnt
TP:2029846,Constantinople,9
TP:2030268,Annina Burns,9
TP:2030267,Runway for Recovery,9
TP:2030872,Nolan Teasley,9
TP:2030117,Matt Drabble (soccer commentator),9
TP:2021096,Yechiel Leiter,9
TP:2030969,Matt Gellene,9
TP:2030038,Santita Jackson,9
TP:2022912,Makai Lemon,9
TP:2030663,Zlatko Hrkac,9
TP:2022244,David Thomas (religious),9
TP:2030455,Alex Morris (journalist),9
TP:2030266,ilium,9
TP:2029053,MLB Collective Bargaining Agreement,9
TP:2030252,Deb Zimmermann,9
TP:2030322,night sweats,9
TP:2030274,recusal,9
TP:2027249,Zach Sokoloff,9
TP:2030122,Andrew Davis (financial analyst),9
TP:2021940,SAVE America Act,8
TP:2031008,Jen Ruiz,8
TP:2026342,David Woo,8
TP:2030594,Nick Butler,8
TP:2030102,Gene Deckerhoff,8
TP:2030954,Sherry Hamby,8
TP:2025650,Dietary Guidelines for Americans,8
TP:2031045,Samantha Citro Alexander,8
TP:2022023,Americans United for Separation of Church and State,8
TP:2030593,Liza Weil,8
TP:2027645,platelets,8
TP:2030871,Colyer Brothers,8
TP:2029874,Martin Perelman,8
TP:2030799,Gary Christian,8
TP:2030199,Clash in Italy,8
TP:2030047,Ariel Posen,8
TP:2030061,Curtis Symonds,8
TP:2030854,Garth Fundis,8
TP:2030222,Andy Tabrizi,8
TP:2025909,Kristian A. Smith,8
TP:2021599,Kelly Dietrich,8
TP:2030555,Dirk Perritt,8
TP:2030581,Leston Lawrence,8
TP:2030226,Sebastian Sanchez,8
TP:2030302,Maria Martin,8
TP:2022204,Scott Burnstein,8
TP:2030582,Royal Canadian Mint,8
TP:2022550,unidentified flying objects,8
TP:2029682,Tyler Turner,8
TP:2028757,Charlisse Leger-Walker,8
TP:2023246,Debra Soh,8
TP:2030827,Georgia Hassarati,8
TP:2030349,Tilly Dillehay,8
TP:2030461,ANNIKA Award,8
TP:2030118,Brooks Laich,8
TP:2030700,Trinity Sunday,8
TP:2024806,Kristoffer Reitan,8
TP:2023603,Gary Christian (sportscaster),8
TP:2030281,Andrew Spar,8
TP:2030573,Insha Rahman,8
TP:2030519,shared experiences,7
TP:2030460,Jaclyn Corin,7
TP:2030856,Jules Boykoff,7
TP:2030579,Brian Mackey,7
TP:2030726,Sandra Brunson,7
TP:2030500,Angelo Dawkins,7
TP:2030286,Heather Matson,7
TP:2031153,Matt Kiatipis,7
TP:2030761,Alex Karnal,7
TP:2031145,evangelization,7
TP:2023699,Kane Parsons,7
TP:2030971,Victoria Burke,7
TP:2031077,Craig Carter,7
TP:2030595,Brian Hamm,7
TP:2029463,Nikkita Lyons (wrestler),7
TP:2029708,Atima Omara,7
TP:2030215,Religious sisters,7
TP:2030105,Leander Schaerlaeckens,7
TP:2031066,tekashi 69,7
TP:2030578,Mark DeLaura,7
TP:2030598,Will Davis,7
TP:2022930,Jeremy Odem,7
TP:2030678,Ray Jay,7
TP:2030762,Brian Kreiter,7
TP:2030240,Tee Sanders,7
TP:2029759,Jill Kargman,7
TP:2030566,International::Caribbean::Trinidadian::Soca,7
TP:2031146,Bill Wack,7
TP:2030275,Pascal Sabino,7
TP:2030282,tofusmell,7
TP:2030218,Sister John Dominic,7
TP:2030187,LJ Benet,7
TP:2030948,Alexie Olivo,7
TP:2031210,Demetrius Fields,7
TP:2030912,"The Hormone Loop: An Empowering Guide to Restoring Hormonal Harmony, from Puberty to Menopause (book)",7
TP:2030626,The Belair Lip Bombs,7
TP:2029556,Diana Maria Riva,7
TP:2030596,Andrew Checketts,7
TP:2030416,Morgan Nagler,7
TP:2025750,Luke Murray,7
TP:2029514,discipline,7
TP:2030392,Bruce Jones,7
TP:2030720,Alexia Putellas,7
TP:2030576,Adam Headley,7
TP:2027283,Bobby Jones,7
TP:2030928,Chris Curry,7
TP:2030034,Erin Boynton,7
TP:2030083,Macario Martinez,7
TP:2030546,Lisa Bradford,7
TP:2030236,xandra,7
TP:2030131,Natalie Alyn Lind,7
TP:2027429,Mia Alario,7
TP:2030947,Kimora Lewis,7
TP:2030208,Hagar Schon Aaronson Shrieve,7
TP:2030214,Ben Williamson,7
TP:2030883,Ranford Champagnie,7
TP:2030657,Ron Placone,7
TP:2030295,Conference Tournament,7
TP:2030946,Raine Michaels,7
TP:2030577,Nick Bova,7
TP:2030702,Magnifica Humanitas,7
TP:2030186,L.J. Benet,7
TP:2030945,Locky Brownlie,7
TP:2030450,Growing Pains (band),7
TP:2030427,Carolina Lumetta,7
TP:2022818,Texas Senate,7
TP:2030531,Brandon Collins [Drunk Black History Host],7
TP:2030525,Milwaukee Metal Fest,7
TP:2029495,Omar Camacho,7
TP:2030949,Rock of Love,7
TP:2030544,Used Equipment Market,7
TP:2030580,Golf Tournament,7
TP:2029746,Taylor Moore (golfer),7
TP:2030285,Allyson Phillips,7
TP:2030296,Sam Weiderhaft,7
TP:2030760,Braidwell,7
TP:2030099,Chris Hegardt,7
TP:2030323,Rupali Sood,6
TP:2030522,Ken Amadi,6
TP:2028821,Vikash Sanyal,6
TP:2031152,Shay Taylor Allen,6
TP:2031171,Ritu Salani,6
TP:2031092,Eric Oermann,6
TP:2023214,Diego Luna (soccer),6
TP:2029572,Rio Grande,6
TP:2030797,Poorna Jagannathan,6
TP:2030916,Miguel Gurwitz,6
TP:2023076,Denzel Boston,6
TP:2023044,sex addiction,6
TP:2025065,perfumes,6
TP:2022557,Casey Cox,6
TP:2030246,Kara Calvert,6
TP:2030284,Karoly Mirnics,6
TP:2030261,Houndmouth,6
TP:2030497,Darryl Newhouse,6
TP:2022197,Black Love Day,6
TP:2030164,National Nurses Week,6
TP:2031115,Alexander Vesely-Frankl,6
TP:2028472,Christian John Wikane,6
TP:2030184,Neil Vasan,6
TP:2030600,Kieron Moore,6
TP:2022141,Ron Eller,6
TP:2030160,Rathna Sharad,6
TP:2030165,Alison Kuhn,6
TP:2030319,Cliff O’Callahan,6
TP:2030814,teen takeovers,6
TP:2022924,Clostridioides difficile infection,6
TP:2031170,Shunji Nagai,6
TP:2028839,Adriana Gonzalez,6
TP:2030127,James Percival,6
TP:2026575,Eggy (band),6
TP:2029704,Boy Throb,6
TP:2022915,Natalie Azar,6
TP:2030507,Jeff Mangan,6
TP:2030158,Ian Cattell,6
TP:2030163,relaxation,6
TP:2024677,Jennifer Mensik Kennedy,6
TP:2031034,vision health,6
TP:2030317,Mark George,6
TP:2030409,Tristan Angels,6
TP:2031088,Stephen Rademaker,6
TP:2030833,Vivian Topping,6
TP:2031165,Christopher Gardner,6
TP:2028923,Davis Martin,6
TP:2030840,Chloe Howard,6
TP:2029541,Emma Thynn,6
TP:2021781,Metropolitan Transportation Authority,6
TP:2031089,Ceptemba,6
TP:2022320,coronary CT calcium scans,6
TP:2021303,Michelle Connell,6
TP:2030026,Brooke Tuttle,6
TP:2030718,Saint Peter's Basilica,6
TP:2030172,Rebecca Dougherty,6
TP:2030710,Charon Bandayrel,6
TP:2030693,Chapter 11,6
TP:2030780,Brian Owsley,6
TP:2030320,Joseph Dzierzewski,6
TP:2030604,Tracie Thoms,6
TP:2029433,radiation oncologists,6
TP:2030972,Katie Cottle,6
TP:2030180,Shaylyn Cochran,6
TP:2031046,Reid Faylor,6
TP:2030506,Karl Rhoads,6
TP:2024789,Mark-Francis Vandelli,6
TP:2031087,Curtis Bradley,6
TP:2030495,Matt Bragman,6
TP:2022992,Dominic Patten,6
TP:2030998,The Olympics,6
TP:2030311,Sara James Ramos,6
TP:2031220,Karmelo Anthony Trial,6
TP:2031219,Ken Boehlke,6
TP:2030496,Lilly Kam,6
TP:2030885,Mike Ethridge,6
TP:2030265,Shafia Zaloom,6
TP:2030815,Reagan Dugan,6
TP:2030687,Gage Jump,6
TP:2030771,David Ilku,6
TP:2030498,i.am Angel,6
TP:2030770,Nora Burns,6
TP:2030025,Chas Wurster,6
TP:2029903,authenticity,6
TP:2030011,Hooman Yazhari,6
TP:2029672,Louis Lavelle,5
TP:2029968,Tony Brothers,5
TP:2030560,Wildcat (movie),5
TP:2031015,Judy Tsafrir,5
TP:2030532,Leandria Johnson,5
TP:2030968,NateTaylorr,5
TP:2030863,First Tee,5
TP:2030574,Marcus Ingvartsen,5
TP:2031106,Cassie and Maggie,5
TP:2030775,Ellen Tillapaugh,5
TP:2031107,Darcy Scott,5
TP:2030903,Calabasas Confidential,5
TP:2031197,tone,5
TP:2030924,Ashish Saxena,5
TP:2031201,Spirit Juice Media,5
TP:2024040,Byron Dyess,5
TP:2031002,Angel Rich,5
TP:2031199,Donatism,5
TP:2031167,Brian Topp,5
TP:2031198,Council of Carthage,5
TP:2030950,John P. Caughlin,5
TP:2031172,Home Sale Gain Exclusion,5
TP:2030325,Spencer West,5
TP:2031200,Pope Marcellinus,5
TP:2030876,Aaron Volpatti,5
TP:2026573,Phelim Kine,5
TP:2024669,comorbidities,5
TP:2030660,Michael Wise,5
TP:2030925,Maria Delgado-Lelievre,5
TP:2030936,deception,5
TP:2031162,Shaymon Spencer,5
TP:2030756,Alonso Munoz,5
TP:2028307,Egypt men's national football team,5
TP:2031096,Gizelle Wray,5
TP:2027689,Liz McGraw,5
TP:2021652,joint pain,5
TP:2030755,Ann-Renée Desbiens,5
TP:2031166,Nat Frum,5
TP:2030754,Danielle Crittenden Frum,5
TP:2022544,Bret Hedican,5
TP:2031232,truck weight,5
TP:2031157,Ericka Hart,5
TP:2030682,Monica Toft,5
TP:2030988,Chris Barker,5
TP:2031177,Krista Tanner,5
TP:2030953,Richard B. Slatcher,5
TP:2030824,250 Bill,5
TP:2030028,Dylan Wint,5
TP:2031169,Eric Antonen,5
TP:2023015,Rosemari Mealy,5
TP:2028732,meniscus tears,5
TP:2030938,Richard Baumgart,5
TP:2030930,Constanza Romero Wilson,5
TP:2030260,Ashley Santoro,5
TP:2030980,Colton Swan,5
TP:2030526,Nicole Locklin,5
TP:2028292,Qatar men's national football team,5
TP:2030937,white collar crimes,5
TP:2028628,The Planetary Society,5
TP:2030865,Ashley Nicks,5
TP:2030457,Rami Elghandour,5
TP:2029191,Julian Abrams,5
TP:2030668,Mary Ackenbom,5
TP:2026993,Ally Triolo,5
TP:2031188,Stop! That! Train!,5
